"name","yearid","w","total_salary"
"Arizona Diamondbacks",2011,94,"53639833"
"Cleveland Indians",2011,80,"48776566"
"San Diego Padres",2011,71,"45869140"
"Pittsburgh Pirates",2011,72,"45047000"
"Tampa Bay Rays",2011,91,"41053571"
"Kansas City Royals",2011,71,"35712000"
"New York Yankees",2010,95,"206333389"
"Boston Red Sox",2010,89,"162447333"
"Chicago Cubs",2010,75,"146609000"
"Philadelphia Phillies",2010,97,"141928379"
"New York Mets",2010,79,"134422942"
"Detroit Tigers",2010,81,"122864928"
"Chicago White Sox",2010,88,"105530000"
"Los Angeles Angels of Anaheim",2010,80,"104963866"
"San Francisco Giants",2010,92,"98641333"
"Minnesota Twins",2010,94,"97559166"
"Los Angeles Dodgers",2010,80,"95358016"
"St. Louis Cardinals",2010,86,"93540751"
"Houston Astros",2010,76,"92355500"
"Seattle Mariners",2010,61,"86510000"
"Atlanta Braves",2010,91,"84423666"
"Colorado Rockies",2010,83,"84227000"
"Baltimore Orioles",2010,66,"81612500"
"Milwaukee Brewers",2010,77,"81108278"
"Tampa Bay Rays",2010,96,"71923471"
"Cincinnati Reds",2010,91,"71761542"
"Kansas City Royals",2010,67,"71405210"
"Toronto Blue Jays",2010,85,"62234000"
"Washington Nationals",2010,69,"61400000"
"Cleveland Indians",2010,69,"61203966"
"Arizona Diamondbacks",2010,65,"60718166"
"Florida Marlins",2010,80,"57029719"
"Oakland Athletics",2010,81,"55254900"
"Texas Rangers",2010,90,"55250544"
"San Diego Padres",2010,90,"37799300"
"Pittsburgh Pirates",2010,57,"34943000"
"New York Yankees",2009,103,"201449189"
"New York Mets",2009,70,"149373987"
"Chicago Cubs",2009,83,"134809000"
"Boston Red Sox",2009,95,"121345999"
"Detroit Tigers",2009,86,"115085145"
"Los Angeles Angels of Anaheim",2009,97,"113709000"
"Philadelphia Phillies",2009,93,"113004046"
"Houston Astros",2009,74,"102996414"
"Los Angeles Dodgers",2009,95,"100414592"
"Seattle Mariners",2009,85,"98904166"
"Atlanta Braves",2009,86,"96726166"
"Chicago White Sox",2009,79,"96068500"
"St. Louis Cardinals",2009,91,"88528409"
"San Francisco Giants",2009,88,"83026450"
"Cleveland Indians",2009,65,"81579166"
"Toronto Blue Jays",2009,75,"80538300"
"Milwaukee Brewers",2009,80,"80182502"
"Colorado Rockies",2009,92,"75201000"
"Cincinnati Reds",2009,78,"73558500"
"Arizona Diamondbacks",2009,70,"73115666"
"Kansas City Royals",2009,65,"70519333"
"Texas Rangers",2009,87,"68178798"
"Baltimore Orioles",2009,64,"67101666"
"Minnesota Twins",2009,87,"65299266"
"Tampa Bay Rays",2009,84,"63313034"
"Oakland Athletics",2009,75,"61910000"
"Washington Nationals",2009,59,"59928000"
"Pittsburgh Pirates",2009,62,"48693000"
"San Diego Padres",2009,75,"43333700"
"Florida Marlins",2009,87,"36834000"
"New York Yankees",2008,89,"207896789"
"New York Mets",2008,89,"137793376"
"Detroit Tigers",2008,74,"137685196"
"Boston Red Sox",2008,95,"133390035"
"Chicago White Sox",2008,89,"121189332"
"Los Angeles Angels of Anaheim",2008,100,"119216333"
"Los Angeles Dodgers",2008,84,"118588536"
"Chicago Cubs",2008,97,"118345833"
"Seattle Mariners",2008,61,"117666482"
"Atlanta Braves",2008,72,"102365683"
"St. Louis Cardinals",2008,86,"99624449"
"Philadelphia Phillies",2008,92,"97879880"
"Toronto Blue Jays",2008,86,"97793900"
"Houston Astros",2008,86,"88930414"
"Milwaukee Brewers",2008,90,"80937499"
"Cleveland Indians",2008,81,"78970066"
"San Francisco Giants",2008,72,"76594500"
"Cincinnati Reds",2008,74,"74117695"
"San Diego Padres",2008,63,"73677616"
"Colorado Rockies",2008,74,"68655500"
"Texas Rangers",2008,79,"67712326"
"Baltimore Orioles",2008,68,"67196246"
"Arizona Diamondbacks",2008,82,"66202712"
"Kansas City Royals",2008,75,"58245500"
"Minnesota Twins",2008,88,"56932766"
"Washington Nationals",2008,59,"54961000"
"Pittsburgh Pirates",2008,67,"48689783"
"Oakland Athletics",2008,75,"47967126"
"Tampa Bay Rays",2008,97,"43820597"
"Florida Marlins",2008,84,"21811500"
"New York Yankees",2007,94,"189259045"
"Boston Red Sox",2007,96,"143026214"
"New York Mets",2007,88,"115231663"
"Los Angeles Angels of Anaheim",2007,94,"109251333"
"Chicago White Sox",2007,72,"108671833"
"Los Angeles Dodgers",2007,82,"108454524"
"Seattle Mariners",2007,88,"106460833"
"Chicago Cubs",2007,85,"99670332"
"Detroit Tigers",2007,88,"94800369"
"Baltimore Orioles",2007,69,"93174808"
"St. Louis Cardinals",2007,78,"90286823"
"San Francisco Giants",2007,71,"90219056"
"Philadelphia Phillies",2007,89,"89428213"
"Houston Astros",2007,73,"87759000"
"Atlanta Braves",2007,84,"87290833"
"Toronto Blue Jays",2007,83,"81942800"
"Oakland Athletics",2007,76,"79366940"
"Minnesota Twins",2007,79,"71439500"
"Milwaukee Brewers",2007,83,"70986500"
"Cincinnati Reds",2007,72,"68524980"
"Texas Rangers",2007,75,"68318675"
"Kansas City Royals",2007,69,"67116500"
"Cleveland Indians",2007,96,"61673267"
"San Diego Padres",2007,89,"58110567"
"Colorado Rockies",2007,90,"54041000"
"Arizona Diamondbacks",2007,90,"52067546"
"Pittsburgh Pirates",2007,68,"38537833"
"Washington Nationals",2007,73,"36947500"
"Florida Marlins",2007,71,"30507000"
"Tampa Bay Devil Rays",2007,66,"24123500"
"New York Yankees",2006,97,"194663079"
"Boston Red Sox",2006,86,"120099824"
"Los Angeles Angels of Anaheim",2006,89,"103472000"
"Chicago White Sox",2006,90,"102750667"
"New York Mets",2006,97,"101084963"
"Los Angeles Dodgers",2006,88,"98447187"
"Chicago Cubs",2006,66,"94424499"
"Atlanta Braves",2006,79,"90156876"
"San Francisco Giants",2006,76,"90056419"
"St. Louis Cardinals",2006,83,"88891371"
"Houston Astros",2006,82,"88694435"
"Philadelphia Phillies",2006,85,"88273333"
"Seattle Mariners",2006,78,"87959833"
"Detroit Tigers",2006,95,"82612866"
"Baltimore Orioles",2006,70,"72585582"
"Toronto Blue Jays",2006,87,"71365000"
"San Diego Padres",2006,88,"69896141"
"Texas Rangers",2006,80,"68228662"
"Minnesota Twins",2006,96,"63396006"
"Washington Nationals",2006,71,"63143000"
"Oakland Athletics",2006,93,"62243079"
"Cincinnati Reds",2006,80,"60909519"
"Arizona Diamondbacks",2006,76,"59684226"
"Milwaukee Brewers",2006,75,"57568333"
"Cleveland Indians",2006,78,"56031500"
"Kansas City Royals",2006,62,"47294000"
"Pittsburgh Pirates",2006,67,"46717750"
"Colorado Rockies",2006,76,"41233000"
"Tampa Bay Devil Rays",2006,61,"34917967"
"Florida Marlins",2006,78,"14671500"
"New York Yankees",2005,95,"208306817"
"Boston Red Sox",2005,95,"123505125"
"New York Mets",2005,83,"101305821"
"Philadelphia Phillies",2005,88,"95522000"
"Los Angeles Angels of Anaheim",2005,95,"94867822"
"St. Louis Cardinals",2005,100,"92106833"
"San Francisco Giants",2005,75,"90199500"
"Seattle Mariners",2005,69,"87754334"
"Chicago Cubs",2005,79,"87032933"
"Atlanta Braves",2005,90,"86457302"
"Los Angeles Dodgers",2005,71,"83039000"
"Houston Astros",2005,89,"76779000"
"Chicago White Sox",2005,99,"75178000"
"Baltimore Orioles",2005,74,"73914333"
"Detroit Tigers",2005,71,"69092000"
"San Diego Padres",2005,82,"63290833"
"Arizona Diamondbacks",2005,77,"62329166"
"Cincinnati Reds",2005,73,"61892583"
"Florida Marlins",2005,83,"60408834"
"Minnesota Twins",2005,83,"56186000"
"Texas Rangers",2005,79,"55849000"
"Oakland Athletics",2005,88,"55425762"
"Washington Nationals",2005,81,"48581500"
"Colorado Rockies",2005,67,"47839000"
"Toronto Blue Jays",2005,80,"45719500"
"Cleveland Indians",2005,93,"41502500"
"Milwaukee Brewers",2005,81,"39934833"
"Pittsburgh Pirates",2005,67,"38133000"
"Kansas City Royals",2005,56,"36881000"
"Tampa Bay Devil Rays",2005,67,"29679067"
"New York Yankees",2004,101,"184193950"
"Boston Red Sox",2004,98,"127298500"
"Anaheim Angels",2004,92,"100534667"
"New York Mets",2004,71,"96660970"
"Philadelphia Phillies",2004,86,"92919167"
"Los Angeles Dodgers",2004,93,"92902001"
"Chicago Cubs",2004,89,"90560000"
"Atlanta Braves",2004,96,"90182500"
"St. Louis Cardinals",2004,105,"83228333"
"San Francisco Giants",2004,91,"82019166"
"Seattle Mariners",2004,63,"81515834"
"Houston Astros",2004,92,"75397000"
"Arizona Diamondbacks",2004,51,"69780750"
"Colorado Rockies",2004,68,"65445167"
"Chicago White Sox",2004,83,"65212500"
"Oakland Athletics",2004,91,"59425667"
"San Diego Padres",2004,87,"55384833"
"Texas Rangers",2004,89,"55050417"
"Minnesota Twins",2004,92,"53585000"
"Baltimore Orioles",2004,78,"51623333"
"Toronto Blue Jays",2004,67,"50017000"
"Kansas City Royals",2004,58,"47609000"
"Detroit Tigers",2004,72,"46832000"
"Cincinnati Reds",2004,76,"46615250"
"Florida Marlins",2004,83,"42143042"
"Montreal Expos",2004,67,"40897500"
"Cleveland Indians",2004,80,"34319300"
"Pittsburgh Pirates",2004,72,"32227929"
"Tampa Bay Devil Rays",2004,70,"29556667"
"Milwaukee Brewers",2004,67,"27528500"
"New York Yankees",2003,101,"152749814"
"New York Mets",2003,66,"116876429"
"Atlanta Braves",2003,101,"106243667"
"Los Angeles Dodgers",2003,85,"105572620"
"Texas Rangers",2003,71,"103491667"
"Boston Red Sox",2003,95,"99946500"
"Seattle Mariners",2003,93,"86959167"
"St. Louis Cardinals",2003,85,"83786666"
"San Francisco Giants",2003,100,"82852167"
"Arizona Diamondbacks",2003,84,"80657000"
"Chicago Cubs",2003,88,"79868333"
"Anaheim Angels",2003,77,"79031667"
"Baltimore Orioles",2003,71,"73877500"
"Houston Astros",2003,87,"71040000"
"Philadelphia Phillies",2003,86,"70780000"
"Colorado Rockies",2003,74,"67179667"
"Cincinnati Reds",2003,69,"59355667"
"Minnesota Twins",2003,90,"55505000"
"Pittsburgh Pirates",2003,75,"54812429"
"Montreal Expos",2003,83,"51948500"
"Toronto Blue Jays",2003,86,"51269000"
"Chicago White Sox",2003,86,"51010000"
"Oakland Athletics",2003,96,"50260834"
"Florida Marlins",2003,91,"49450000"
"Detroit Tigers",2003,43,"49168000"
"Cleveland Indians",2003,68,"48584834"
"San Diego Padres",2003,64,"45210000"
"Milwaukee Brewers",2003,68,"40627000"
"Kansas City Royals",2003,83,"40518000"
"Tampa Bay Devil Rays",2003,63,"19630000"
"New York Yankees",2002,103,"125928583"
"Boston Red Sox",2002,93,"108366060"
"Texas Rangers",2002,72,"105526122"
"Arizona Diamondbacks",2002,98,"102819999"
"Los Angeles Dodgers",2002,92,"94850953"
"New York Mets",2002,75,"94633593"
"Atlanta Braves",2002,101,"92870367"
"Seattle Mariners",2002,93,"80282668"
"Cleveland Indians",2002,74,"78909449"
"San Francisco Giants",2002,95,"78299835"
"Toronto Blue Jays",2002,78,"76864333"
"Chicago Cubs",2002,67,"75690833"
"St. Louis Cardinals",2002,97,"74660875"
"Houston Astros",2002,84,"63448417"
"Anaheim Angels",2002,99,"61721667"
"Baltimore Orioles",2002,67,"60493487"
"Philadelphia Phillies",2002,80,"57954999"
"Chicago White Sox",2002,81,"57052833"
"Colorado Rockies",2002,73,"56851043"
"Detroit Tigers",2002,55,"55048000"
"Milwaukee Brewers",2002,56,"50287833"
"Kansas City Royals",2002,62,"47257000"
"Cincinnati Reds",2002,78,"45050390"
"Pittsburgh Pirates",2002,72,"42323599"
"Florida Marlins",2002,79,"41979917"
"San Diego Padres",2002,66,"41425000"
"Minnesota Twins",2002,94,"40425000"
"Oakland Athletics",2002,103,"40004167"
"Montreal Expos",2002,83,"38670500"
"Tampa Bay Devil Rays",2002,55,"34380000"
"New York Yankees",2001,95,"112287143"
"Boston Red Sox",2001,82,"110035833"
"Los Angeles Dodgers",2001,86,"109105953"
"New York Mets",2001,82,"93174428"
"Cleveland Indians",2001,91,"93152001"
"Atlanta Braves",2001,88,"91936166"
"Texas Rangers",2001,73,"88633500"
"Arizona Diamondbacks",2001,92,"85082999"
"St. Louis Cardinals",2001,93,"78538333"
"Toronto Blue Jays",2001,80,"76895999"
"Seattle Mariners",2001,116,"74720834"
"Colorado Rockies",2001,73,"71541334"
"Baltimore Orioles",2001,63,"67599540"
"Chicago White Sox",2001,83,"65653667"
"Chicago Cubs",2001,88,"64715833"
"San Francisco Giants",2001,90,"63280167"
"Houston Astros",2001,93,"60612667"
"Pittsburgh Pirates",2001,62,"57760833"
"Tampa Bay Devil Rays",2001,62,"56980000"
"Detroit Tigers",2001,66,"53416167"
"Cincinnati Reds",2001,66,"48986000"
"Anaheim Angels",2001,75,"47535167"
"Milwaukee Brewers",2001,68,"43886833"
"Philadelphia Phillies",2001,86,"41663833"
"San Diego Padres",2001,79,"39182833"
"Florida Marlins",2001,76,"35762500"
"Kansas City Royals",2001,65,"35422500"
"Montreal Expos",2001,68,"35159500"
"Oakland Athletics",2001,102,"33810750"
"Minnesota Twins",2001,85,"24130000"
"New York Yankees",2000,87,"92338260"
"Los Angeles Dodgers",2000,86,"87924286"
"Atlanta Braves",2000,95,"84537836"
"Baltimore Orioles",2000,74,"81447435"
"Arizona Diamondbacks",2000,85,"81027833"
"New York Mets",2000,94,"79509776"
"Boston Red Sox",2000,85,"77940333"
"Cleveland Indians",2000,90,"75880771"
"Texas Rangers",2000,71,"70795921"
"Tampa Bay Devil Rays",2000,69,"62765129"
"St. Louis Cardinals",2000,95,"61453863"
"Colorado Rockies",2000,82,"61111190"
"Chicago Cubs",2000,65,"60539333"
"Seattle Mariners",2000,91,"58915000"
"Detroit Tigers",2000,79,"58265167"
"San Diego Padres",2000,76,"54821000"
"San Francisco Giants",2000,97,"53737826"
"Anaheim Angels",2000,82,"51464167"
"Houston Astros",2000,72,"51289111"
"Philadelphia Phillies",2000,65,"47308000"
"Cincinnati Reds",2000,85,"46867200"
"Toronto Blue Jays",2000,83,"44838332"
"Milwaukee Brewers",2000,73,"36505333"
"Montreal Expos",2000,67,"32994333"
"Oakland Athletics",2000,91,"31971333"
"Chicago White Sox",2000,95,"31133500"
"Pittsburgh Pirates",2000,69,"28928334"
"Kansas City Royals",2000,77,"23433000"
"Florida Marlins",2000,79,"19872000"
"Minnesota Twins",2000,69,"16519500"
