"yearid","name","w","attendance"
2014,"Colorado Rockies",66,2680329
2014,"Chicago Cubs",73,2652113
2014,"Washington Nationals",96,2579389
2014,"Cincinnati Reds",76,2476664
2014,"Baltimore Orioles",96,2464473
2014,"Pittsburgh Pirates",88,2442564
2014,"Philadelphia Phillies",73,2423852
2014,"Toronto Blue Jays",83,2375525
2014,"Atlanta Braves",79,2354305
2014,"Minnesota Twins",70,2250606
2014,"San Diego Padres",77,2195373
2014,"New York Mets",79,2148808
2014,"Seattle Mariners",87,2064334
2014,"Oakland Athletics",88,2003628
2014,"Arizona Diamondbacks",64,1997385
2014,"Kansas City Royals",89,1956482
2014,"Houston Astros",70,1751829
2014,"Miami Marlins",77,1732283
2014,"Chicago White Sox",73,1650821
2014,"Tampa Bay Rays",77,1446464
2014,"Cleveland Indians",85,1437393
2014,"Arizona Diamondbacks",64,76345
2013,"Los Angeles Dodgers",92,3743527
2013,"St. Louis Cardinals",97,3369769
2013,"San Francisco Giants",76,3326796
2013,"New York Yankees",85,3279589
2013,"Texas Rangers",91,3178273
2013,"Detroit Tigers",93,3083397
2013,"Los Angeles Angels of Anaheim",78,3019505
2013,"Philadelphia Phillies",73,3012403
2013,"Boston Red Sox",97,2833333
2013,"Colorado Rockies",74,2793828
2013,"Washington Nationals",86,2652422
2013,"Chicago Cubs",66,2642682
2013,"Atlanta Braves",96,2548679
2013,"Toronto Blue Jays",74,2536562
2013,"Milwaukee Brewers",74,2531105
2013,"Cincinnati Reds",90,2492101
2013,"Minnesota Twins",66,2477644
2013,"Baltimore Orioles",85,2357561
2013,"Pittsburgh Pirates",94,2256862
2013,"San Diego Padres",76,2166691
2013,"New York Mets",74,2135657
2013,"Arizona Diamondbacks",81,2134895
2013,"Oakland Athletics",96,1809302
2013,"Chicago White Sox",63,1768413
2013,"Seattle Mariners",71,1761546
2013,"Kansas City Royals",86,1750754
2013,"Houston Astros",51,1651883
2013,"Miami Marlins",62,1586322
2013,"Cleveland Indians",92,1572926
2013,"Tampa Bay Rays",92,1510300
2013,"Cincinnati Reds",90,42310
2012,"Philadelphia Phillies",81,3565718
2012,"New York Yankees",95,3542406
2012,"Texas Rangers",93,3460280
2012,"San Francisco Giants",94,3377371
2012,"Los Angeles Dodgers",86,3324246
2012,"St. Louis Cardinals",88,3262109
2012,"Los Angeles Angels of Anaheim",89,3061770
2012,"Boston Red Sox",69,3043003
2012,"Detroit Tigers",88,3028033
2012,"Chicago Cubs",61,2882756
2012,"Milwaukee Brewers",83,2831385
2012,"Minnesota Twins",66,2776354
2012,"Colorado Rockies",64,2630458
2012,"Atlanta Braves",94,2420171
2012,"Washington Nationals",98,2370794
2012,"Cincinnati Reds",97,2347251
2012,"New York Mets",74,2242803
2012,"Miami Marlins",69,2219444
2012,"Arizona Diamondbacks",81,2177617
2012,"San Diego Padres",76,2123721
2012,"Baltimore Orioles",93,2102240
2012,"Toronto Blue Jays",73,2099663
2012,"Pittsburgh Pirates",79,2091918
2012,"Chicago White Sox",85,1965955
2012,"Kansas City Royals",72,1739859
2012,"Seattle Mariners",75,1721920
2012,"Houston Astros",55,1607733
2012,"Cleveland Indians",68,1603596
2012,"Oakland Athletics",94,1591395
2012,"Tampa Bay Rays",90,1559681
2012,"Oakland Athletics",94,87618
2011,"Philadelphia Phillies",102,3680718
2011,"New York Yankees",97,3653680
2011,"San Francisco Giants",86,3387303
2011,"Minnesota Twins",63,3168116
2011,"Los Angeles Angels of Anaheim",86,3166321
2011,"St. Louis Cardinals",90,3093954
2011,"Milwaukee Brewers",96,3071373
2011,"Boston Red Sox",90,3054001
2011,"Chicago Cubs",71,3017966
2011,"Texas Rangers",96,2946949
2011,"Los Angeles Dodgers",82,2935139
2011,"Colorado Rockies",73,2909777
2011,"Detroit Tigers",95,2642045
2011,"Atlanta Braves",89,2372940
2011,"New York Mets",77,2352596
2011,"Cincinnati Reds",79,2213588
2011,"San Diego Padres",71,2143018
2011,"Arizona Diamondbacks",94,2105432
2011,"Houston Astros",56,2067016
2011,"Chicago White Sox",79,2001117
2011,"Washington Nationals",80,1940478
2011,"Pittsburgh Pirates",72,1940429
2011,"Seattle Mariners",67,1896321
2011,"Cleveland Indians",80,1840835
2011,"Toronto Blue Jays",81,1818103
2011,"Baltimore Orioles",69,1755461
2011,"Kansas City Royals",71,1724450
2011,"Tampa Bay Rays",91,1529188
2011,"Florida Marlins",72,1477462
2011,"Oakland Athletics",74,1476791
2011,"Florida Marlins",72,43100
2010,"New York Yankees",95,3765807
2010,"Philadelphia Phillies",97,3647249
2010,"Los Angeles Dodgers",80,3562318
2010,"St. Louis Cardinals",86,3301218
2010,"Los Angeles Angels of Anaheim",80,3250754
2010,"Minnesota Twins",94,3223640
2010,"Chicago Cubs",75,3062973
2010,"Boston Red Sox",89,3046445
2010,"San Francisco Giants",92,3037267
2010,"Colorado Rockies",83,2875245
2010,"Milwaukee Brewers",77,2776531
2010,"New York Mets",79,2573077
2010,"Atlanta Braves",91,2510121
2010,"Texas Rangers",90,2505171
2010,"Detroit Tigers",81,2461237
2010,"Houston Astros",76,2331490
2010,"Chicago White Sox",88,2194378
2010,"San Diego Padres",90,2131774
2010,"Seattle Mariners",61,2085168
2010,"Cincinnati Reds",91,2060550
2010,"Arizona Diamondbacks",65,2057224
2010,"Tampa Bay Rays",96,1865002
2010,"Washington Nationals",69,1828065
2010,"Baltimore Orioles",66,1733019
2010,"Kansas City Royals",67,1615326
2010,"Pittsburgh Pirates",57,1613399
2010,"Toronto Blue Jays",85,1495482
2010,"Florida Marlins",80,1469216
2010,"Oakland Athletics",81,1418391
2010,"Cleveland Indians",69,1391644
2010,"Toronto Blue Jays",85,130073
2010,"Florida Marlins",80,55678
2009,"Los Angeles Dodgers",95,3761669
2009,"New York Yankees",103,3719358
2009,"Philadelphia Phillies",93,3600693
2009,"St. Louis Cardinals",91,3343252
2009,"Los Angeles Angels of Anaheim",97,3240386
2009,"Chicago Cubs",83,3168859
2009,"New York Mets",70,3154270
2009,"Boston Red Sox",95,3062699
2009,"Milwaukee Brewers",80,3037451
2009,"San Francisco Giants",88,2861111
2009,"Colorado Rockies",92,2665080
2009,"Detroit Tigers",86,2567192
2009,"Houston Astros",74,2521081
2009,"Minnesota Twins",87,2416237
2009,"Atlanta Braves",86,2373631
2009,"Chicago White Sox",79,2284163
2009,"Seattle Mariners",85,2195128
2009,"Texas Rangers",87,2156016
2009,"Arizona Diamondbacks",70,2129183
2009,"San Diego Padres",75,1922603
2009,"Baltimore Orioles",64,1907163
2009,"Toronto Blue Jays",75,1876129
2009,"Tampa Bay Rays",84,1874962
2009,"Washington Nationals",59,1817280
2009,"Kansas City Royals",65,1799686
2009,"Cleveland Indians",65,1766242
2009,"Cincinnati Reds",78,1747919
2009,"Pittsburgh Pirates",62,1577853
2009,"Florida Marlins",87,1464109
2009,"Oakland Athletics",75,1408783
2008,"New York Yankees",89,4298655
2008,"New York Mets",89,4042047
2008,"Los Angeles Dodgers",84,3730553
2008,"St. Louis Cardinals",86,3430403
2008,"Philadelphia Phillies",92,3422583
2008,"Los Angeles Angels of Anaheim",100,3336747
2008,"Chicago Cubs",97,3299840
2008,"Detroit Tigers",74,3202654
2008,"Milwaukee Brewers",90,3068908
2008,"Boston Red Sox",95,3048250
2008,"San Francisco Giants",72,2863837
2008,"Houston Astros",86,2740888
2008,"Colorado Rockies",74,2650218
2008,"Atlanta Braves",72,2532834
2008,"Arizona Diamondbacks",82,2509924
2008,"Chicago White Sox",89,2501103
2008,"San Diego Padres",63,2427535
2008,"Toronto Blue Jays",86,2399786
2008,"Seattle Mariners",61,2329702
2008,"Washington Nationals",59,2320400
2008,"Minnesota Twins",88,2302431
2008,"Cleveland Indians",81,2169760
2008,"Cincinnati Reds",74,2058632
2008,"Baltimore Orioles",68,1950075
2008,"Texas Rangers",79,1945677
2008,"Tampa Bay Rays",97,1785188
2008,"Pittsburgh Pirates",67,1609076
2008,"Kansas City Royals",75,1578922
2008,"Oakland Athletics",75,1575899
2008,"Florida Marlins",84,1335076
2008,"Oakland Athletics",75,89363
2008,"Houston Astros",86,38599
2008,"Tampa Bay Rays",97,26798
2007,"New York Yankees",94,4271867
2007,"Los Angeles Dodgers",82,3856753
2007,"New York Mets",88,3853955
2007,"St. Louis Cardinals",78,3552180
2007,"Los Angeles Angels of Anaheim",94,3365632
2007,"Chicago Cubs",85,3252462
2007,"San Francisco Giants",71,3223202
2007,"Philadelphia Phillies",89,3108330
2007,"Detroit Tigers",88,3047124
2007,"Houston Astros",73,3020405
2007,"Boston Red Sox",96,2970755
2007,"Milwaukee Brewers",83,2869144
2007,"San Diego Padres",89,2790074
2007,"Atlanta Braves",84,2745303
2007,"Chicago White Sox",72,2684395
2007,"Seattle Mariners",88,2672409
2007,"Colorado Rockies",90,2376250
2007,"Toronto Blue Jays",83,2360648
2007,"Texas Rangers",75,2353862
2007,"Arizona Diamondbacks",90,2316507
2007,"Minnesota Twins",79,2296383
2007,"Cleveland Indians",96,2223415
2007,"Baltimore Orioles",69,2172487
2007,"Cincinnati Reds",72,2058593
2007,"Washington Nationals",73,1961579
2007,"Oakland Athletics",76,1921844
2007,"Pittsburgh Pirates",68,1749142
2007,"Kansas City Royals",69,1616867
2007,"Florida Marlins",71,1370511
2007,"Tampa Bay Devil Rays",66,1362189
2007,"Cleveland Indians",96,52496
2007,"Tampa Bay Devil Rays",66,26917
2006,"New York Yankees",97,4247980
2006,"Los Angeles Dodgers",88,3758421
2006,"St. Louis Cardinals",83,3407104
2006,"Los Angeles Angels of Anaheim",89,3406790
2006,"New York Mets",97,3372045
2006,"San Francisco Giants",76,3130304
2006,"Chicago Cubs",66,3123215
2006,"Houston Astros",82,3022763
2006,"Chicago White Sox",90,2957414
2006,"Boston Red Sox",86,2930768
2006,"Philadelphia Phillies",85,2701815
2006,"San Diego Padres",88,2659732
2006,"Detroit Tigers",95,2595937
2006,"Atlanta Braves",79,2549524
2006,"Seattle Mariners",78,2480717
2006,"Texas Rangers",80,2388757
2006,"Milwaukee Brewers",75,2335643
2006,"Toronto Blue Jays",87,2302182
2006,"Minnesota Twins",96,2285018
2006,"Baltimore Orioles",70,2153150
2006,"Washington Nationals",71,2153080
2006,"Cincinnati Reds",80,2134472
2006,"Colorado Rockies",76,2104560
2006,"Arizona Diamondbacks",76,2091005
2006,"Cleveland Indians",78,1998070
2006,"Oakland Athletics",93,1976625
2006,"Pittsburgh Pirates",67,1861549
2006,"Kansas City Royals",62,1372684
2006,"Tampa Bay Devil Rays",61,1369031
2006,"Florida Marlins",78,1165120
2005,"New York Yankees",95,4090440
2005,"Los Angeles Dodgers",71,3603680
2005,"St. Louis Cardinals",100,3542271
2005,"Los Angeles Angels of Anaheim",95,3404636
2005,"San Francisco Giants",75,3181020
2005,"Chicago Cubs",79,3100092
2005,"San Diego Padres",82,2869787
2005,"Boston Red Sox",95,2847798
2005,"New York Mets",83,2829930
2005,"Houston Astros",89,2804760
2005,"Washington Nationals",81,2730352
2005,"Seattle Mariners",69,2724859
2005,"Philadelphia Phillies",88,2665291
2005,"Baltimore Orioles",74,2624804
2005,"Texas Rangers",79,2525259
2005,"Atlanta Braves",90,2521534
2005,"Chicago White Sox",99,2342834
2005,"Milwaukee Brewers",81,2211023
2005,"Oakland Athletics",88,2108818
2005,"Arizona Diamondbacks",77,2059331
2005,"Minnesota Twins",83,2034243
2005,"Detroit Tigers",71,2024505
2005,"Toronto Blue Jays",80,2014995
2005,"Cleveland Indians",93,2014220
2005,"Cincinnati Reds",73,1943166
2005,"Colorado Rockies",67,1914389
2005,"Florida Marlins",83,1852602
2005,"Pittsburgh Pirates",67,1817245
2005,"Kansas City Royals",56,1371181
2005,"Tampa Bay Devil Rays",67,1141915
2004,"New York Yankees",101,3775292
2004,"Los Angeles Dodgers",93,3488283
2004,"Anaheim Angels",92,3375677
2004,"San Francisco Giants",91,3256854
2004,"Philadelphia Phillies",86,3250092
2004,"Chicago Cubs",89,3170154
2004,"Houston Astros",92,3087872
2004,"St. Louis Cardinals",105,3048427
2004,"San Diego Padres",87,3016752
2004,"Seattle Mariners",63,2940731
2004,"Boston Red Sox",98,2837304
2004,"Baltimore Orioles",78,2744013
2004,"Arizona Diamondbacks",51,2519560
2004,"Texas Rangers",89,2513685
2004,"Colorado Rockies",68,2338069
2004,"Atlanta Braves",96,2322565
2004,"New York Mets",71,2318321
2004,"Cincinnati Reds",76,2287250
2004,"Oakland Athletics",91,2201516
2004,"Milwaukee Brewers",67,2062382
2004,"Chicago White Sox",83,1930537
2004,"Detroit Tigers",72,1917004
2004,"Minnesota Twins",92,1911490
2004,"Toronto Blue Jays",67,1900041
2004,"Cleveland Indians",80,1814401
2004,"Florida Marlins",83,1713645
2004,"Kansas City Royals",58,1661478
2004,"Pittsburgh Pirates",72,1583031
2004,"Tampa Bay Devil Rays",70,1164911
2004,"Montreal Expos",67,531545
2004,"Montreal Expos",67,217005
2004,"Tampa Bay Devil Rays",70,110000
2004,"Florida Marlins",83,9460
2003,"New York Yankees",101,3460600
2003,"Seattle Mariners",93,3267509
2003,"San Francisco Giants",100,3264898
2003,"Los Angeles Dodgers",85,3138696
2003,"Anaheim Angels",77,3061094
2003,"Chicago Cubs",88,2962630
2003,"St. Louis Cardinals",85,2910386
2003,"Arizona Diamondbacks",84,2805542
2003,"Boston Red Sox",95,2724165
2003,"Houston Astros",87,2455241
2003,"Baltimore Orioles",71,2454523
2003,"Atlanta Braves",101,2401084
2003,"Cincinnati Reds",69,2355259
2003,"Colorado Rockies",74,2334175
2003,"Philadelphia Phillies",86,2259948
2003,"Oakland Athletics",96,2216596
2003,"New York Mets",66,2168832
2003,"Texas Rangers",71,2094394
2003,"San Diego Padres",64,2030084
2003,"Minnesota Twins",90,1946011
2003,"Chicago White Sox",86,1939594
2003,"Toronto Blue Jays",86,1799818
2003,"Kansas City Royals",83,1779895
2003,"Cleveland Indians",68,1727001
2003,"Milwaukee Brewers",68,1700354
2003,"Pittsburgh Pirates",75,1636751
2003,"Detroit Tigers",43,1368245
2003,"Florida Marlins",91,1303214
2003,"Tampa Bay Devil Rays",63,1058695
2003,"Montreal Expos",83,712757
2003,"Montreal Expos",83,312882
2002,"Seattle Mariners",93,3539938
2002,"New York Yankees",103,3465807
2002,"San Francisco Giants",95,3253203
2002,"Arizona Diamondbacks",98,3198975
2002,"Los Angeles Dodgers",92,3131255
2002,"St. Louis Cardinals",97,3011756
2002,"New York Mets",75,2804838
2002,"Colorado Rockies",73,2740614
2002,"Chicago Cubs",67,2694946
2002,"Baltimore Orioles",67,2681439
2002,"Boston Red Sox",93,2650859
2002,"Cleveland Indians",74,2621940
2002,"Atlanta Braves",101,2603484
2002,"Houston Astros",84,2512357
2002,"Texas Rangers",72,2352397
2002,"Anaheim Angels",99,2305467
2002,"San Diego Padres",66,2221230
2002,"Oakland Athletics",103,2169816
2002,"Milwaukee Brewers",56,1969153
2002,"Minnesota Twins",94,1924354
2002,"Cincinnati Reds",78,1855775
2002,"Pittsburgh Pirates",72,1784970
2002,"Chicago White Sox",81,1675591
2002,"Toronto Blue Jays",78,1638170
2002,"Philadelphia Phillies",80,1618467
2002,"Detroit Tigers",55,1503353
2002,"Kansas City Royals",62,1323036
2002,"Tampa Bay Devil Rays",55,1065742
2002,"Florida Marlins",79,813127
2002,"Montreal Expos",83,812537
2001,"Seattle Mariners",116,3512326
2001,"San Francisco Giants",90,3311000
2001,"New York Yankees",95,3264847
2001,"Cleveland Indians",91,3182523
2001,"Colorado Rockies",73,3168579
2001,"St. Louis Cardinals",93,3109578
2001,"Baltimore Orioles",63,3094841
2001,"Los Angeles Dodgers",86,3017143
2001,"Houston Astros",93,2906277
2001,"Texas Rangers",73,2831111
2001,"Atlanta Braves",88,2823494
2001,"Milwaukee Brewers",68,2811040
2001,"Chicago Cubs",88,2779465
2001,"Arizona Diamondbacks",92,2735821
2001,"New York Mets",82,2658330
2001,"Boston Red Sox",82,2625333
2001,"Pittsburgh Pirates",62,2435868
2001,"San Diego Padres",79,2378148
2001,"Oakland Athletics",102,2133477
2001,"Anaheim Angels",75,1998319
2001,"Detroit Tigers",66,1920995
2001,"Toronto Blue Jays",80,1895236
2001,"Cincinnati Reds",66,1879757
2001,"Philadelphia Phillies",86,1792054
2001,"Minnesota Twins",85,1782926
2001,"Chicago White Sox",83,1766172
2001,"Kansas City Royals",65,1536101
2001,"Tampa Bay Devil Rays",62,1298075
2001,"Florida Marlins",76,1261216
2001,"Montreal Expos",68,642743
2001,"Toronto Blue Jays",80,19891
2000,"Cleveland Indians",90,3456278
2000,"St. Louis Cardinals",95,3336493
2000,"San Francisco Giants",97,3315330
2000,"Baltimore Orioles",74,3297031
2000,"Colorado Rockies",82,3295129
2000,"Atlanta Braves",95,3234304
2000,"New York Yankees",87,3227657
2000,"Seattle Mariners",91,3148317
2000,"Houston Astros",72,3056139
2000,"Los Angeles Dodgers",86,3011539
2000,"Arizona Diamondbacks",85,2942251
2000,"Texas Rangers",71,2800075
2000,"New York Mets",94,2765530
2000,"Chicago Cubs",65,2734511
2000,"Cincinnati Reds",85,2594132
2000,"Boston Red Sox",85,2585895
2000,"Detroit Tigers",79,2533753
2000,"San Diego Padres",76,2423142
2000,"Anaheim Angels",82,2066982
2000,"Chicago White Sox",95,1971446
2000,"Toronto Blue Jays",83,1819919
2000,"Pittsburgh Pirates",69,1748908
2000,"Oakland Athletics",91,1728885
2000,"Kansas City Royals",77,1677915
2000,"Philadelphia Phillies",65,1612769
2000,"Milwaukee Brewers",73,1573621
2000,"Tampa Bay Devil Rays",69,1549592
2000,"Florida Marlins",79,1218326
2000,"Minnesota Twins",69,1059415
2000,"Montreal Expos",67,926272
2000,"New York Mets",94,55000
2000,"Chicago Cubs",65,55000
1999,"Colorado Rockies",72,3481065
1999,"Cleveland Indians",97,3468436
1999,"Baltimore Orioles",78,3432099
1999,"New York Yankees",98,3293259
1999,"Atlanta Braves",103,3284901
1999,"St. Louis Cardinals",75,3235833
1999,"Los Angeles Dodgers",77,3098990
1999,"Arizona Diamondbacks",100,3015948
1999,"Chicago Cubs",67,2813854
1999,"Texas Rangers",95,2774501
1999,"New York Mets",97,2726008
1999,"Houston Astros",97,2706017
1999,"San Diego Padres",74,2496434
1999,"Boston Red Sox",94,2446277
1999,"Anaheim Angels",70,2253040
1999,"Toronto Blue Jays",84,2163486
1999,"San Francisco Giants",86,2078365
1999,"Cincinnati Reds",96,2061324
1999,"Detroit Tigers",69,2026491
1999,"Philadelphia Phillies",77,1825337
1999,"Seattle Mariners",79,1816504
1999,"Tampa Bay Devil Rays",69,1749657
1999,"Milwaukee Brewers",74,1701790
1999,"Pittsburgh Pirates",78,1638023
1999,"Kansas City Royals",64,1501292
1999,"Oakland Athletics",87,1434632
1999,"Florida Marlins",64,1369420
1999,"Chicago White Sox",75,1338851
1999,"Minnesota Twins",63,1202829
1999,"Seattle Mariners",79,1099404
1999,"Montreal Expos",68,772737
1999,"San Diego Padres",74,27104
1998,"Colorado Rockies",77,3791276
1998,"Baltimore Orioles",79,3684560
1998,"Arizona Diamondbacks",65,3604237
1998,"Cleveland Indians",89,3467299
1998,"Atlanta Braves",106,3361350
1998,"St. Louis Cardinals",83,3195651
1998,"Los Angeles Dodgers",83,3089222
1998,"Texas Rangers",88,2927409
1998,"New York Yankees",114,2908991
1998,"Seattle Mariners",76,2651511
1998,"Chicago Cubs",90,2623000
1998,"San Diego Padres",98,2555964
1998,"Anaheim Angels",85,2519280
1998,"Tampa Bay Devil Rays",63,2506023
1998,"Toronto Blue Jays",88,2454303
1998,"Houston Astros",102,2450451
1998,"Boston Red Sox",92,2343930
1998,"New York Mets",88,2287942
1998,"San Francisco Giants",89,1925634
1998,"Milwaukee Brewers",74,1811548
1998,"Cincinnati Reds",77,1793676
1998,"Florida Marlins",54,1750395
1998,"Philadelphia Phillies",75,1715702
1998,"Pittsburgh Pirates",69,1560950
1998,"Kansas City Royals",72,1494875
1998,"Detroit Tigers",65,1409391
1998,"Chicago White Sox",80,1391146
1998,"Oakland Athletics",74,1232363
1998,"Minnesota Twins",70,1165980
1998,"Montreal Expos",65,914909
1998,"New York Yankees",114,40743
1997,"Colorado Rockies",83,3893433
1997,"Baltimore Orioles",98,3692388
1997,"Atlanta Braves",101,3447608
1997,"Cleveland Indians",86,3394750
1997,"Los Angeles Dodgers",88,3319320
1997,"Seattle Mariners",90,3197054
1997,"Texas Rangers",77,2923590
1997,"St. Louis Cardinals",73,2654568
1997,"Toronto Blue Jays",76,2589317
1997,"New York Yankees",96,2581043
1997,"Florida Marlins",92,2352567
1997,"Boston Red Sox",78,2223602
1997,"Chicago Cubs",68,2189948
1997,"Houston Astros",84,2046275
1997,"San Diego Padres",76,2011901
1997,"Chicago White Sox",80,1865052
1997,"Cincinnati Reds",76,1790058
1997,"New York Mets",88,1775201
1997,"Anaheim Angels",84,1774702
1997,"San Francisco Giants",90,1696583
1997,"Pittsburgh Pirates",79,1694633
1997,"Kansas City Royals",67,1526638
1997,"Montreal Expos",78,1507166
1997,"Philadelphia Phillies",68,1490542
1997,"Milwaukee Brewers",78,1450029
1997,"Minnesota Twins",68,1413064
1997,"Detroit Tigers",79,1395413
1997,"Oakland Athletics",65,1260565
1997,"San Diego Padres",76,77432
1996,"Colorado Rockies",83,3906328
1996,"Baltimore Orioles",88,3654764
1996,"Cleveland Indians",99,3320078
1996,"Los Angeles Dodgers",90,3188454
1996,"Atlanta Braves",96,2898806
1996,"Texas Rangers",90,2889040
1996,"Seattle Mariners",85,2721073
1996,"St. Louis Cardinals",88,2645824
1996,"Toronto Blue Jays",74,2559910
1996,"Boston Red Sox",85,2315349
1996,"New York Yankees",92,2255051
1996,"Chicago Cubs",76,2219110
1996,"San Diego Padres",91,2140536
1996,"Houston Astros",82,1977715
1996,"Cincinnati Reds",81,1871459
1996,"California Angels",70,1820183
1996,"Philadelphia Phillies",67,1796354
1996,"Florida Marlins",80,1753706
1996,"Chicago White Sox",85,1666025
1996,"Montreal Expos",88,1618571
1996,"New York Mets",71,1582648
1996,"Minnesota Twins",78,1437446
1996,"Kansas City Royals",75,1436006
1996,"San Francisco Giants",68,1418722
1996,"Milwaukee Brewers",80,1327150
1996,"Pittsburgh Pirates",73,1322079
1996,"Detroit Tigers",53,1168610
1996,"Oakland Athletics",78,1132362
1996,"San Diego Padres",91,67382
1996,"Oakland Athletics",78,54986
1995,"Colorado Rockies",77,3402209
1995,"Baltimore Orioles",71,3101759
1995,"Cleveland Indians",100,2842722
1995,"Toronto Blue Jays",56,2826445
1995,"Los Angeles Dodgers",78,2766628
1995,"Atlanta Braves",90,2564492
1995,"Boston Red Sox",86,2164401
1995,"Philadelphia Phillies",69,2048588
1995,"Texas Rangers",74,1985910
1995,"Chicago Cubs",73,1917546
1995,"Cincinnati Reds",85,1830015
1995,"St. Louis Cardinals",62,1756061
1995,"California Angels",78,1748797
1995,"New York Yankees",79,1709199
1995,"Florida Marlins",67,1697414
1995,"Seattle Mariners",79,1640379
1995,"Chicago White Sox",68,1609775
1995,"Houston Astros",76,1392683
1995,"Montreal Expos",66,1308618
1995,"New York Mets",69,1273186
1995,"Kansas City Royals",70,1237203
1995,"San Francisco Giants",67,1231591
1995,"Detroit Tigers",60,1180979
1995,"Oakland Athletics",67,1174441
1995,"Milwaukee Brewers",65,1088220
1995,"Minnesota Twins",56,1057668
1995,"San Diego Padres",70,1052995
1995,"Pittsburgh Pirates",58,911536
1994,"Colorado Rockies",53,3281464
1994,"Toronto Blue Jays",55,2907949
1994,"Baltimore Orioles",63,2535359
1994,"Atlanta Braves",68,2534240
1994,"Texas Rangers",52,2502662
1994,"Philadelphia Phillies",54,2289963
1994,"Los Angeles Dodgers",58,2280140
1994,"Cleveland Indians",66,1995474
1994,"Florida Marlins",51,1942377
1994,"Cincinnati Reds",66,1897591
1994,"Chicago Cubs",49,1845278
1994,"St. Louis Cardinals",53,1839098
1994,"Boston Red Sox",54,1775541
1994,"San Francisco Giants",55,1704317
1994,"Chicago White Sox",67,1697448
1994,"New York Yankees",70,1681507
1994,"Houston Astros",66,1560970
1994,"California Angels",47,1512622
1994,"Kansas City Royals",64,1400581
1994,"Minnesota Twins",53,1398565
1994,"Montreal Expos",74,1276250
1994,"Milwaukee Brewers",53,1268398
1994,"Oakland Athletics",51,1240920
1994,"Pittsburgh Pirates",53,1222579
1994,"Detroit Tigers",53,1184783
1994,"New York Mets",55,1152161
1994,"Seattle Mariners",49,1102288
1994,"San Diego Padres",47,953886
1993,"Colorado Rockies",67,4483203
1993,"Toronto Blue Jays",95,4057747
1993,"Atlanta Braves",104,3879508
1993,"Baltimore Orioles",85,3643768
1993,"Los Angeles Dodgers",81,3164720
1993,"Philadelphia Phillies",97,3137512
1993,"Florida Marlins",64,3066756
1993,"St. Louis Cardinals",87,2840533
1993,"Chicago Cubs",84,2643428
1993,"San Francisco Giants",103,2604635
1993,"Chicago White Sox",94,2581061
